"","ANO_BO","month","day_of_week","Period2","case_count","y","year","mes","dia","predict"
"66",2017,"fev","segunda","pre_morning",34,3.52636052461616,1,2,2,2.96848129709576
"67",2017,"fev","segunda","morning",21,3.04452243772342,1,2,2,3.1626661521177
"68",2017,"fev","segunda","day_am",40,3.68887945411394,1,2,2,3.84010143839567
"69",2017,"fev","segunda","day_pm",48,3.87120101090789,1,2,2,3.94107179139326
"70",2017,"fev","segunda","pre_night",34,3.52636052461616,1,2,2,3.28488525275526
"71",2017,"fev","segunda","night",34,3.52636052461616,1,2,2,3.81804728886978
"72",2017,"fev","segunda","night_pm",116,4.75359019110636,1,2,2,4.75406277020924
"73",2017,"fev","terça","night_am",30,3.40119738166216,1,2,3,3.44911972051222
"74",2017,"fev","terça","pre_morning",39,3.66356164612965,1,2,3,2.99593676758137
"75",2017,"fev","terça","morning",26,3.25809653802148,1,2,3,3.19012162260331
"76",2017,"fev","terça","day_am",82,4.40671924726425,1,2,3,3.86755690888128
"77",2017,"fev","terça","day_pm",66,4.18965474202643,1,2,3,3.96852726187887
"78",2017,"fev","terça","pre_night",49,3.89182029811063,1,2,3,3.31234072324087
"79",2017,"fev","terça","night",42,3.73766961828337,1,2,3,3.84550275935539
"80",2017,"fev","terça","night_pm",163,5.09375020080676,1,2,3,4.78151824069485
"81",2017,"fev","quarta","night_am",38,3.63758615972639,1,2,4,3.47657519099783
"82",2017,"fev","quarta","pre_morning",28,3.3322045101752,1,2,4,3.02339223806699
"83",2017,"fev","quarta","morning",50,3.91202300542815,1,2,4,3.21757709308892
"84",2017,"fev","quarta","day_am",98,4.58496747867057,1,2,4,3.89501237936689
"85",2017,"fev","quarta","day_pm",83,4.4188406077966,1,2,4,3.99598273236448
"86",2017,"fev","quarta","pre_night",25,3.2188758248682,1,2,4,3.33979619372648
"87",2017,"fev","quarta","night",62,4.12713438504509,1,2,4,3.872958229841
"88",2017,"fev","quarta","night_pm",138,4.92725368515721,1,2,4,4.80897371118047
"89",2017,"fev","quinta","night_am",38,3.63758615972639,1,2,5,3.50403066148344
"90",2017,"fev","quinta","pre_morning",23,3.13549421592915,1,2,5,3.0508477085526
"91",2017,"fev","quinta","morning",49,3.89182029811063,1,2,5,3.24503256357453
"92",2017,"fev","quinta","day_am",95,4.55387689160054,1,2,5,3.9224678498525
"93",2017,"fev","quinta","day_pm",69,4.23410650459726,1,2,5,4.02343820285009
"94",2017,"fev","quinta","pre_night",45,3.80666248977032,1,2,5,3.36725166421209
"95",2017,"fev","quinta","night",43,3.76120011569356,1,2,5,3.90041370032661
"96",2017,"fev","quinta","night_pm",159,5.06890420222023,1,2,5,4.83642918166608
"97",2017,"fev","sexta","night_am",33,3.49650756146648,1,2,6,3.53148613196905
"98",2017,"fev","sexta","pre_morning",27,3.29583686600433,1,2,6,3.07830317903821
"99",2017,"fev","sexta","morning",49,3.89182029811063,1,2,6,3.27248803406014
"100",2017,"fev","sexta","day_am",77,4.34380542185368,1,2,6,3.94992332033811
"101",2017,"fev","sexta","day_pm",77,4.34380542185368,1,2,6,4.0508936733357
"102",2017,"fev","sexta","pre_night",48,3.87120101090789,1,2,6,3.3947071346977
"103",2017,"fev","sexta","night",31,3.43398720448515,1,2,6,3.92786917081223
"104",2017,"fev","sexta","night_pm",172,5.14749447681345,1,2,6,4.86388465215169
"105",2017,"fev","sábado","night_am",58,4.06044301054642,1,2,7,3.55894160245466
"106",2017,"fev","sábado","pre_morning",52,3.95124371858143,1,2,7,3.10575864952382
"107",2017,"fev","sábado","morning",50,3.91202300542815,1,2,7,3.29994350454576
"108",2017,"fev","sábado","day_am",38,3.63758615972639,1,2,7,3.97737879082373
"109",2017,"fev","sábado","day_pm",67,4.20469261939097,1,2,7,4.07834914382132
"110",2017,"fev","sábado","pre_night",39,3.66356164612965,1,2,7,3.42216260518332
"111",2017,"fev","sábado","night",39,3.66356164612965,1,2,7,3.95532464129784
"112",2017,"fev","sábado","night_pm",130,4.86753445045558,1,2,7,4.8913401226373
"113",2017,"mar","domingo","night_am",65,4.17438726989564,1,3,1,3.39930398803972
"114",2017,"mar","domingo","pre_morning",40,3.68887945411394,1,3,1,2.94612103510888
"115",2017,"mar","domingo","morning",41,3.71357206670431,1,3,1,3.14030589013082
"116",2017,"mar","domingo","day_am",52,3.95124371858143,1,3,1,3.81774117640879
"117",2017,"mar","domingo","day_pm",42,3.73766961828337,1,3,1,3.91871152940638
"118",2017,"mar","domingo","pre_night",28,3.3322045101752,1,3,1,3.26252499076838
"119",2017,"mar","domingo","night",43,3.76120011569356,1,3,1,3.7956870268829
"120",2017,"mar","domingo","night_pm",114,4.7361984483945,1,3,1,4.73170250822236
"121",2017,"mar","segunda","night_am",38,3.63758615972639,1,3,2,3.42675945852534
"122",2017,"mar","segunda","pre_morning",30,3.40119738166216,1,3,2,2.97357650559449
"123",2017,"mar","segunda","morning",38,3.63758615972639,1,3,2,3.16776136061643
"124",2017,"mar","segunda","day_am",51,3.93182563272433,1,3,2,3.8451966468944
"125",2017,"mar","segunda","day_pm",55,4.00733318523247,1,3,2,3.94616699989199
"126",2017,"mar","segunda","pre_night",34,3.52636052461616,1,3,2,3.28998046125399
"127",2017,"mar","segunda","night",35,3.55534806148941,1,3,2,3.82314249736851
"128",2017,"mar","segunda","night_pm",96,4.56434819146784,1,3,2,4.75915797870797
"129",2017,"mar","terça","night_am",23,3.13549421592915,1,3,3,3.45421492901095
"130",2017,"mar","terça","pre_morning",25,3.2188758248682,1,3,3,3.00103197608011
"131",2017,"mar","terça","morning",37,3.61091791264422,1,3,3,3.19521683110204
"132",2017,"mar","terça","day_am",103,4.63472898822964,1,3,3,3.87265211738001
"133",2017,"mar","terça","day_pm",74,4.30406509320417,1,3,3,3.9736224703776
"134",2017,"mar","terça","pre_night",38,3.63758615972639,1,3,3,3.3174359317396
"135",2017,"mar","terça","night",47,3.85014760171006,1,3,3,3.85059796785412
"136",2017,"mar","terça","night_pm",145,4.97673374242057,1,3,3,4.78661344919359
"137",2017,"mar","quarta","night_am",44,3.78418963391826,1,3,4,3.48167039949656
"138",2017,"mar","quarta","pre_morning",24,3.17805383034795,1,3,4,3.02848744656572
"139",2017,"mar","quarta","morning",57,4.04305126783455,1,3,4,3.22267230158765
"140",2017,"mar","quarta","day_am",112,4.71849887129509,1,3,4,3.90010758786562
"141",2017,"mar","quarta","day_pm",108,4.68213122712422,1,3,4,4.00107794086321
"142",2017,"mar","quarta","pre_night",43,3.76120011569356,1,3,4,3.34489140222521
"143",2017,"mar","quarta","night",75,4.31748811353631,1,3,4,3.87805343833973
"144",2017,"mar","quarta","night_pm",160,5.07517381523383,1,3,4,4.8140689196792
"145",2017,"mar","quinta","night_am",44,3.78418963391826,1,3,5,3.50912586998217
"146",2017,"mar","quinta","pre_morning",29,3.36729582998647,1,3,5,3.05594291705133
"147",2017,"mar","quinta","morning",72,4.27666611901606,1,3,5,3.25012777207326
"148",2017,"mar","quinta","day_am",117,4.76217393479776,1,3,5,3.92756305835123
"149",2017,"mar","quinta","day_pm",103,4.63472898822964,1,3,5,4.02853341134882
"150",2017,"mar","quinta","pre_night",28,3.3322045101752,1,3,5,3.37234687271082
"151",2017,"mar","quinta","night",65,4.17438726989564,1,3,5,3.90550890882535
"152",2017,"mar","quinta","night_pm",181,5.19849703126583,1,3,5,4.84152439016481
"153",2017,"mar","sexta","night_am",26,3.25809653802148,1,3,6,3.53658134046778
"154",2017,"mar","sexta","pre_morning",44,3.78418963391826,1,3,6,3.08339838753694
"155",2017,"mar","sexta","morning",42,3.73766961828337,1,3,6,3.27758324255888
"156",2017,"mar","sexta","day_am",111,4.70953020131233,1,3,6,3.95501852883685
"157",2017,"mar","sexta","day_pm",71,4.26267987704132,1,3,6,4.05598888183444
"158",2017,"mar","sexta","pre_night",65,4.17438726989564,1,3,6,3.39980234319644
"159",2017,"mar","sexta","night",73,4.29045944114839,1,3,6,3.93296437931096
"160",2017,"mar","sexta","night_pm",203,5.31320597904179,1,3,6,4.86897986065042
"161",2017,"mar","sábado","night_am",54,3.98898404656427,1,3,7,3.56403681095339
"162",2017,"mar","sábado","pre_morning",24,3.17805383034795,1,3,7,3.11085385802255
"163",2017,"mar","sábado","morning",22,3.09104245335832,1,3,7,3.30503871304449
"164",2017,"mar","sábado","day_am",61,4.11087386417331,1,3,7,3.98247399932246
"165",2017,"mar","sábado","day_pm",67,4.20469261939097,1,3,7,4.08344435232005
"166",2017,"mar","sábado","pre_night",29,3.36729582998647,1,3,7,3.42725781368205
"167",2017,"mar","sábado","night",47,3.85014760171006,1,3,7,3.96041984979657
"168",2017,"mar","sábado","night_pm",140,4.9416424226093,1,3,7,4.89643533113603
"169",2017,"abr","domingo","night_am",76,4.33073334028633,1,4,1,3.40439919653846
"170",2017,"abr","domingo","pre_morning",26,3.25809653802148,1,4,1,2.95121624360762
"171",2017,"abr","domingo","morning",40,3.68887945411394,1,4,1,3.14540109862955
"172",2017,"abr","domingo","day_am",38,3.63758615972639,1,4,1,3.82283638490752
"173",2017,"abr","domingo","day_pm",63,4.14313472639153,1,4,1,3.92380673790511
"174",2017,"abr","domingo","pre_night",55,4.00733318523247,1,4,1,3.26762019926711
"175",2017,"abr","domingo","night",51,3.93182563272433,1,4,1,3.80078223538163
"176",2017,"abr","domingo","night_pm",117,4.76217393479776,1,4,1,4.7367977167211
"177",2017,"abr","segunda","night_am",28,3.3322045101752,1,4,2,3.43185466702407
"178",2017,"abr","segunda","pre_morning",36,3.58351893845611,1,4,2,2.97867171409323
"179",2017,"abr","segunda","morning",19,2.94443897916644,1,4,2,3.17285656911516
"180",2017,"abr","segunda","day_am",59,4.07753744390572,1,4,2,3.85029185539313
"181",2017,"abr","segunda","day_pm",49,3.89182029811063,1,4,2,3.95126220839072
"182",2017,"abr","segunda","pre_night",21,3.04452243772342,1,4,2,3.29507566975272
"183",2017,"abr","segunda","night",51,3.93182563272433,1,4,2,3.82823770586724
"184",2017,"abr","segunda","night_pm",103,4.63472898822964,1,4,2,4.76425318720671
"185",2017,"abr","terça","night_am",25,3.2188758248682,1,4,3,3.45931013750968
"186",2017,"abr","terça","pre_morning",12,2.484906649788,1,4,3,3.00612718457884
"187",2017,"abr","terça","morning",31,3.43398720448515,1,4,3,3.20031203960077
"188",2017,"abr","terça","day_am",92,4.52178857704904,1,4,3,3.87774732587874
"189",2017,"abr","terça","day_pm",70,4.24849524204936,1,4,3,3.97871767887633
